ImageNumber,ObjectNumber,AreaShape_Area,AreaShape_Center_X,AreaShape_Center_Y,AreaShape_Center_Z,AreaShape_Compactness,AreaShape_Eccentricity,AreaShape_EulerNumber,AreaShape_Extent,AreaShape_FormFactor,AreaShape_MajorAxisLength,AreaShape_MaxFeretDiameter,AreaShape_MaximumRadius,AreaShape_MeanRadius,AreaShape_MedianRadius,AreaShape_MinFeretDiameter,AreaShape_MinorAxisLength,AreaShape_Orientation,AreaShape_Perimeter,AreaShape_Solidity,Children_Cells_Count,Children_Cytoplasm_Count,Intensity_IntegratedIntensityEdge_CropBlue,Intensity_IntegratedIntensity_CropBlue,Intensity_LowerQuartileIntensity_CropBlue,Intensity_MADIntensity_CropBlue,Intensity_MassDisplacement_CropBlue,Intensity_MaxIntensityEdge_CropBlue,Intensity_MaxIntensity_CropBlue,Intensity_MeanIntensityEdge_CropBlue,Intensity_MeanIntensity_CropBlue,Intensity_MedianIntensity_CropBlue,Intensity_MinIntensityEdge_CropBlue,Intensity_MinIntensity_CropBlue,Intensity_StdIntensityEdge_CropBlue,Intensity_StdIntensity_CropBlue,Intensity_UpperQuartileIntensity_CropBlue,Location_CenterMassIntensity_X_CropBlue,Location_CenterMassIntensity_Y_CropBlue,Location_CenterMassIntensity_Z_CropBlue,Location_Center_X,Location_Center_Y,Location_Center_Z,Location_MaxIntensity_X_CropBlue,Location_MaxIntensity_Y_CropBlue,Location_MaxIntensity_Z_CropBlue,Number_Object_Number,Texture_AngularSecondMoment_CropBlue_3_00,Texture_AngularSecondMoment_CropBlue_3_01,Texture_AngularSecondMoment_CropBlue_3_02,Texture_AngularSecondMoment_CropBlue_3_03,Texture_Contrast_CropBlue_3_00,Texture_Contrast_CropBlue_3_01,Texture_Contrast_CropBlue_3_02,Texture_Contrast_CropBlue_3_03,Texture_Correlation_CropBlue_3_00,Texture_Correlation_CropBlue_3_01,Texture_Correlation_CropBlue_3_02,Texture_Correlation_CropBlue_3_03,Texture_DifferenceEntropy_CropBlue_3_00,Texture_DifferenceEntropy_CropBlue_3_01,Texture_DifferenceEntropy_CropBlue_3_02,Texture_DifferenceEntropy_CropBlue_3_03,Texture_DifferenceVariance_CropBlue_3_00,Texture_DifferenceVariance_CropBlue_3_01,Texture_DifferenceVariance_CropBlue_3_02,Texture_DifferenceVariance_CropBlue_3_03,Texture_Entropy_CropBlue_3_00,Texture_Entropy_CropBlue_3_01,Texture_Entropy_CropBlue_3_02,Texture_Entropy_CropBlue_3_03,Texture_InfoMeas1_CropBlue_3_00,Texture_InfoMeas1_CropBlue_3_01,Texture_InfoMeas1_CropBlue_3_02,Texture_InfoMeas1_CropBlue_3_03,Texture_InfoMeas2_CropBlue_3_00,Texture_InfoMeas2_CropBlue_3_01,Texture_InfoMeas2_CropBlue_3_02,Texture_InfoMeas2_CropBlue_3_03,Texture_InverseDifferenceMoment_CropBlue_3_00,Texture_InverseDifferenceMoment_CropBlue_3_01,Texture_InverseDifferenceMoment_CropBlue_3_02,Texture_InverseDifferenceMoment_CropBlue_3_03,Texture_SumAverage_CropBlue_3_00,Texture_SumAverage_CropBlue_3_01,Texture_SumAverage_CropBlue_3_02,Texture_SumAverage_CropBlue_3_03,Texture_SumEntropy_CropBlue_3_00,Texture_SumEntropy_CropBlue_3_01,Texture_SumEntropy_CropBlue_3_02,Texture_SumEntropy_CropBlue_3_03,Texture_SumVariance_CropBlue_3_00,Texture_SumVariance_CropBlue_3_01,Texture_SumVariance_CropBlue_3_02,Texture_SumVariance_CropBlue_3_03,Texture_Variance_CropBlue_3_00,Texture_Variance_CropBlue_3_01,Texture_Variance_CropBlue_3_02,Texture_Variance_CropBlue_3_03
1,3,188,26.0,45.0,1.0,1.0405563046749602,0.64597828429396786,1.0,0.734375,0.87007943589828884,17.802595637603673,17.204650534085253,6.7082039324993694,2.8360621844476204,2.8284271247461903,12.727922061357855,13.589714388126277,-47.270380519579895,52.108000000000018,0.93069306930693074,1,1,3.1764707006514072,23.19607912376523,0.090196080505847931,0.023529417812824249,0.47479544598187645,0.098039217293262482,0.24705882370471954,0.07563025477741446,0.1233833995944959,0.12156862765550613,0.050980392843484879,0.050980392843484879,0.010455848777628831,0.03949083702234378,0.14509804546833038,24.367371098859326,46.792054091206644,0.0,24.675531914893618,46.430851063829785,0,21.0,51.0,0.0,3,0.004795918367346939,0.0058094798399507541,0.0052320968061892485,0.0054775362741098996,160.48571428571429,252.06140350877195,129.29577464788733,121.06106870229007,0.15341921724811799,-0.27649326846284744,0.31385800909550221,0.30382998743560496,4.4053307776907964,4.8251594009282233,4.2836691264977542,4.2960421139729785,0.0006120455994897961,0.00041712053227916274,0.0007136306505405672,0.00070732636410319951,7.8308941775819862,7.5543383694089208,7.7624231758427111,7.6478521999777023,-0.43090161834848395,-0.4917534927193058,-0.44241215822734142,-0.45485714420512774,0.99319936761822902,0.99636595733534516,0.99390154547224685,0.99444521461231949,0.077657642810795166,0.083944527291727009,0.10343518138377275,0.13774940588801671,67.300000000000011,66.956140350877178,66.901408450704224,66.099236641221367,5.4709383998966388,5.2780780681277069,5.5327535291890317,5.5342336208050176,218.65285714285528,142.8664973838122,247.58182900218253,226.73061010430683,94.784642857142444,98.731975223145582,94.219400912517585,86.947919701648971
1,4,320,14.0,66.0,1.0,1.0076761980092446,0.36101767558896725,1.0,0.80000000000000004,0.90871824234229415,21.002532853163409,21.470910553583888,9.4339811320566032,3.6224028734317932,3.0,19.0,19.586100465574727,21.153169606690057,66.52200000000002,0.94534711964549478,1,1,4.2431373745203018,52.3764718323946,0.11764705926179886,0.039215683937072754,0.33934273166355067,0.12156862765550613,0.3490196168422699,0.074441006570531612,0.16367647447623312,0.17647059261798859,0.050980392843484879,0.050980392843484879,0.017985760390539507,0.061769356042889932,0.20784313976764679,13.900494169076314,65.5458969684002,0.0,13.603125,65.709374999999994,0,19.0,61.0,0.0,4,0.0026496968629350711,0.0028581342683906795,0.0026701183431952673,0.0027079702404377731,292.5593869731801,490.9444444444444,310.34615384615387,382.30303030303025,0.306562794058024,-0.10846465762412671,0.29730605293359263,0.080260927250607267,4.9137910330541299,5.3322070421159307,4.984455573840064,5.1961111425807935,0.00033210512666187139,0.00021095607990194882,0.00027266418292059321,0.00022073965796909521,8.6733875099301123,8.5850038755200835,8.6805435707941179,8.620104993778277,-0.44353980471578547,-0.45639476325406858,-0.44119899823462516,-0.43927371716355251,0.99642795899614389,0.99687464103296997,0.99632110623393433,0.99608729647427841,0.10319173463235443,0.059323694446119825,0.067490012631590518,0.060040390260373534,90.076628352490417,91.833333333333343,90.061538461538476,90.839826839826841,6.2404886111384084,5.9243752721154426,6.0974516506299619,6.0000904533666883,551.23550740593873,394.86538461538294,572.95775147928907,449.02629261070797,210.94872359477927,221.4524572649575,220.82597633136038,207.8323307284345
1,5,201,41.0,71.0,1.0,1.0827045925275434,0.71868025405194103,1.0,0.70526315789473681,0.75883022512793508,19.387906385753706,18.973665961010276,6.7082039324993694,2.8212483687369891,2.8284271247461903,12.965338406690355,13.481200444638121,-75.711890425260037,57.694000000000017,0.91990846681922189,1,1,3.0588236264884472,23.737255539745092,0.08235294371843338,0.0313725546002388,0.13090087646804655,0.090196080505847931,0.23921568691730499,0.066496165793227119,0.11809579870519947,0.11764705926179886,0.039215687662363052,0.039215687662363052,0.013056566517212577,0.042710680981294401,0.14803922176361084,40.818767554826636,72.879398640505585,0.0,40.855721393034827,73.004975124378106,0,40.0,74.0,0.0,5,0.0043629198723963217,0.0047679999999999997,0.0047268066015061679,0.0044444444444444444,180.74657534246575,257.46400000000006,122.05696202531647,218.21481481481482,0.2249299045091965,-0.052911700154512437,0.43604405550108327,0.068792314624059547,4.6488742587817855,4.7260927623321241,4.3851997156508569,4.6055092393236663,0.00044657772473433323,0.00040359625390218545,0.00059527967932511709,0.00050714490649743284,7.9243801239336928,7.7737842846620877,7.8542899253375218,7.8768155970508298,-0.47936356045257694,-0.51239006103850027,-0.47709795402769478,-0.48578350727142172,0.99661227123413787,0.99763539571542126,0.99634820528137991,0.99680302457175551,0.088870707876795546,0.049374923025682291,0.084645078278429028,0.045527818309979248,65.719178082191775,67.112000000000009,65.563291139240519,66.540740740740745,5.6994959627228772,5.4413154373634542,5.6611906419383953,5.6010189347010648,285.65401576280783,231.58745599999929,310.8029562570091,250.45574759945066,116.60014777631841,122.26286399999981,108.21497957058205,117.16764060356672
1,6,187,133.0,77.0,1.0,1.0253332767792986,0.60299797584004655,1.0,0.77916666666666667,0.92952469547034766,17.334646658680057,16.643316977093239,6.7082039324993694,2.8561067993035638,2.8284271247461903,13.416407864998739,13.828588108587729,40.549888224650225,50.280000000000015,0.94923857868020323,1,1,3.0823530554771423,22.831373229622841,0.098039217293262482,0.023529410362243652,0.23611109069994585,0.10196078568696976,0.21960784494876862,0.073389358463741478,0.12209290497124514,0.12156862765550613,0.047058824449777603,0.047058824449777603,0.011134233459667433,0.037497933660004638,0.14509804546833038,133.34936448503422,78.043799388345235,0.0,133.56684491978609,77.951871657754012,0,130.0,78.0,0.0,6,0.0049841301329101367,0.005126953125,0.0046840225661197669,0.005330812854442344,133.87323943661971,134.5,139.60431654676256,193.00869565217391,0.23129145154813907,0.21910009234801384,0.18951094874390464,-0.13305220170454773,4.3809664784926472,4.420342479353021,4.4724746636697166,4.5291075313096867,0.00067363897969552095,0.00061737746229609096,0.00062111772548122633,0.00055846178640977801,7.7658754645446351,7.706954882778696,7.8257404432115392,7.6410572248197921,-0.43655039886804908,-0.44100360446772224,-0.42091657033527191,-0.4639615699835829,0.99343942314094491,0.99359177114239861,0.99225950334948387,0.99504143578139437,0.1085019825839392,0.10287420322035921,0.11879096274726253,0.06324602011317651,66.295774647887328,67.296875,67.129496402877692,66.08695652173914,5.5011322264026026,5.4868690206738151,5.4665614658619859,5.3525523073873984,214.4336441182304,209.974365234375,204.88970550178601,147.67939508506515,87.076720888712543,86.11859130859375,86.123505512137626,85.17202268431015
1,7,251,59.0,79.0,1.0,1.35000475411247,0.83417364398981098,1.0,0.54565217391304344,0.52064881639624627,25.771007435579673,24.207436873820409,5.8309518948453007,2.5879205947523354,2.2360679774997898,16.277639216469275,14.212759237814112,-65.355914983976163,77.834000000000032,0.75037369207772797,1,1,5.7490197792649269,38.443138301372528,0.10490196198225021,0.047058828175067902,0.11372972629734038,0.20392157137393951,0.28235295414924622,0.092726125472014947,0.15315991355128497,0.15686275064945221,0.050980392843484879,0.050980392843484879,0.042219534436600294,0.061228459055944914,0.19607843458652496,59.0129552186037,79.58941140311066,0.0,58.916334661354583,79.64940239043824,0,57.0,82.0,0.0,7,0.0031990262476202366,0.0035809197783883608,0.0032724616508400294,0.0036388011107919183,261.93296089385473,496.44966442953017,245.03783783783788,256.68361581920908,0.44246606538044275,0.048163985516162057,0.43170694189484177,0.41658889136965421,4.877959564590034,5.2041196593352286,4.8218859211153555,4.9249483757252097,0.00034462787694568623,0.00023254333991420048,0.00036109324216722295,0.00032261920940612006,8.3385643806162122,8.1520544265024295,8.3407616631839332,8.2387367647478147,-0.52479133802933708,-0.55861294670533235,-0.5077040434690171,-0.52991797599115198,0.9986735013168293,0.99909844732059216,0.99828376429989829,0.99868260005561615,0.082309217910027932,0.038349224885016478,0.06844239767147664,0.086092284983809803,85.262569832402221,84.919463087248317,87.567567567567579,87.598870056497177,6.1564191992198651,5.9335165507307552,6.1634251443308727,6.1426520928380102,677.67966043507022,546.69150038286716,617.32651570489361,623.25717386447013,234.90315533223065,260.78529120309895,215.59108838568272,219.9851974209198
1,8,412,76.0,83.0,1.0,1.0406254156985151,0.54572066074078374,1.0,0.68896321070234112,0.8039677819210761,25.36499319618115,25.96150997149434,9.4868329805051381,3.8100278394760263,3.6055512754639891,20.084628642130969,21.255031299948318,-1.8378752323937764,80.248000000000033,0.91657397107897653,1,1,5.4196080099791288,56.188236670568585,0.090196080505847931,0.047058820724487305,1.0774282404810109,0.20000000298023224,0.23921568691730499,0.082115272878471646,0.13637921521982665,0.14117647707462311,0.023529412224888802,0.023529412224888802,0.043907555383965784,0.054734269028189911,0.18431372940540314,73.83507818796086,82.111180904851921,0.0,74.762135922330103,82.660194174757279,0,71.0,86.0,0.0,8,0.0027347195967233778,0.0023560043852251648,0.0024516834594284485,0.0022813338913329735,54.953623188405814,196.17857142857144,185.50299401197606,251.32587859424919,0.84660562391989369,0.43972218471957214,0.4644322101577667,0.2926242347228008,3.9513082733933462,4.7559557191838397,4.7238081335964539,4.9070584246031119,0.00093708179163822663,0.0004277661133682326,0.00043963304954019273,0.00033566490893098143,8.7381827327183448,8.8795636104790248,8.8562835873959962,8.9177206839518455,-0.41498482773059281,-0.38273118887535656,-0.39121589347027658,-0.37880596167521224,0.99483671262160367,0.99249461541812922,0.99324190297078963,0.99222355507416027,0.18001501394299652,0.081587499273699626,0.10556411307371978,0.057809233599752631,73.017391304347825,75.217532467532465,75.467065868263475,75.964856230031955,6.2629728070949806,6.1834895468204145,6.212693058542281,6.0802371618642921,661.54752362948966,504.11177053466054,507.23095127110992,459.26074574610266,179.12528670447341,175.0725854908078,173.18348632077164,177.6466560850879
1,9,495,25.0,84.0,1.0,1.0114326885052003,0.29088467842860738,1.0,0.70512820512820518,0.82824275934796665,25.832153520190747,26.076809620810597,11.401754250991379,4.2913748819574957,3.6055512754639891,24.140393963016741,24.715122687067417,42.245424499371019,86.662000000000035,0.92870544090056306,1,1,4.803921714425087,87.058825932443142,0.098039217293262482,0.062745101749897003,0.40892374895649025,0.12156862765550613,0.42352941632270813,0.06766086921725474,0.17587641602513765,0.15294118225574493,0.039215687662363052,0.039215687662363052,0.016252129205890878,0.094637379801925922,0.23627451062202454,24.613288283629192,84.316171175306579,0.0,24.236363636363638,84.474747474747474,0,27.0,83.0,0.0,9,0.0015153344949939327,0.00155959846947879,0.0014719117433589781,0.0014933286799645633,385.30455635491603,617.05398457583544,277.84819277108437,566.83937823834208,0.65649728395873996,0.47126407349067884,0.75480982141703534,0.51554243606951322,5.1567670605287077,5.4406904159850455,4.974163124131052,5.5369045147738492,0.0002248449051936324,0.00015525255564036858,0.00024881863939136433,0.00014094733533782976,9.4520581297788233,9.3998611457407186,9.4812813214045804,9.4428329763816485,-0.49856725976923072,-0.51191965750461377,-0.49204636923774558,-0.50470038187868316,0.99906034429822332,0.99922303558815595,0.99897199069517928,0.99914729532153146,0.034917194101955172,0.029464322215626122,0.067371678640470944,0.059283447960775254,98.470023980815341,100.41131105398458,98.412048192771096,100.52331606217618,6.9406229089484768,6.9040387289248049,6.9864323745440089,6.9171398216242714,1858.0812357308405,1717.018483885251,1988.5410596603269,1773.2598190555436,560.84644802143885,583.51811711527171,566.59731310785355,585.0247993234716
1,10,360,45.0,94.0,1.0,1.0275709466806138,0.35351599745653367,1.0,0.59999999999999998,0.70551722759597257,22.456238746566996,24.515301344262525,9.4339811320566032,3.5857021603597854,3.1622776601683795,20.227089141424557,21.006205257379428,54.313991303450315,80.076000000000036,0.89219330855018586,1,1,5.3137256503105164,50.376471929252148,0.098039217293262482,0.035294115543365479,0.30712511151944799,0.16078431904315948,0.27843138575553894,0.083026963286101818,0.13993464424792262,0.15294118225574493,0.039215687662363052,0.039215687662363052,0.033402140948698013,0.049171834230872548,0.17647059261798859,43.955472527130517,93.680133899880232,0.0,44.075000000000003,93.397222222222226,0,42.0,89.0,0.0,10,0.002829964328180736,0.0027293707936595678,0.0027657714826211368,0.0027984682068762368,131.13103448275862,290.32342007434937,148.37024221453288,148.63670411985021,0.52886104807538814,-0.056399691841200437,0.45768444924332852,0.48313512678214682,4.4971829514710029,4.9653465233379812,4.5565392471876578,4.5662594642354009,0.00052747133776662137,0.00034164853057569184,0.00054327423161558658,0.00053710853786075778,8.6595854590163803,8.6485090632599047,8.6684063815136394,8.6289198548518087,-0.38529667393833511,-0.37428806683250304,-0.38069646364281212,-0.39117804012433149,0.9919474965304057,0.9906347607133037,0.99147490366044333,0.99244488831019118,0.079127710083624098,0.084930850835956653,0.097096240008136853,0.1021341360048421,76.737931034482756,78.360594795539015,76.83391003460207,76.404494382022477,6.0319516703008418,5.7667715985394299,6.0759525337563645,6.0143453968904019,425.52442330558824,259.32350299194513,398.80286395038456,426.51054159828254,139.16386444708678,137.41173076657378,136.79327654122926,143.78681142953315
1,11,236,118.0,90.0,1.0,1.0136874041940591,0.51251119765007791,1.0,0.77124183006535951,0.90168536852173009,18.780458534784938,18.027756377319946,8.0,3.1444571497864082,2.8284271247461903,15.556349186104045,16.126414303529813,55.376090009301414,57.350000000000023,0.93650793650793651,1,1,3.2509805038571358,26.666667371988297,0.086274512112140656,0.019607849419116974,0.66771639992094167,0.090196080505847931,0.29803922772407532,0.069169797954407142,0.11299435327113685,0.10588235408067703,0.050980392843484879,0.050980392843484879,0.010117651940314836,0.041817790309622044,0.12549020349979401,118.76705884357497,90.678088245254287,0.0,118.20762711864407,90.313559322033896,0,122.0,94.0,0.0,11,0.0048001449100350205,0.005001972103696798,0.004791818845872901,0.0057282486780964592,183.75824175824178,208.05389221556888,177.31891891891894,219.46202531645571,0.21780947360656813,-0.043740518618474139,0.26164219562879254,0.14722194744829897,4.4345964809610248,4.4473925767083795,4.4903747794084596,4.5677465377178681,0.00066096312706845014,0.00056848983181713149,0.00058760095264131769,0.00056694221902511474,7.9177722336863106,7.8370922414851645,7.9177094334191196,7.7025546819765278,-0.37110026571683302,-0.37064325744402887,-0.38645995929024252,-0.42739497174009239,0.98634970922702336,0.98575767270784909,0.98866903937724959,0.99237293603163479,0.15347536943281126,0.14850810543448131,0.14634799227758169,0.11019337599129223,61.15384615384616,60.029940119760482,61.297297297297298,61.613924050632917,5.4845013914839669,5.3978599072527764,5.4115727006144168,5.2524807511671039,286.09721048182519,190.61587005629463,302.98728999269542,295.23702131068694,117.46386306001727,99.667440567965627,120.07655222790345,128.67476165678556
1,12,115,160.0,97.0,1.0,1.0398390238819695,0.45774823666902154,1.0,0.73717948717948723,0.87567376254869211,13.108869170249298,12.806248474865697,5.0990195135927845,2.2461567347500604,2.0,11.0,11.654857769971892,39.631238125449819,40.624000000000009,0.9236947791164658,1,1,2.7490196824073792,14.227451339364052,0.090196080505847931,0.027450978755950928,0.25544530741040689,0.11372549086809158,0.26666668057441711,0.080853520070805263,0.12371696816838305,0.11372549086809158,0.050980392843484879,0.050980392843484879,0.017563938280594944,0.047669366953956162,0.14901961386203766,160.58654906492828,96.624586541373688,0.0,160.55652173913043,96.878260869565224,0,161.0,95.0,0.0,12,0.0068899214869411951,0.0088757396449704162,0.0069994940124810268,0.0099999999999999985,314.51898734177217,381.33846153846156,267.22077922077926,427.28333333333336,0.065137291125960048,-0.13658160290558963,0.17499799523229609,-0.27967934391288696,4.6862148497066958,4.6648473367588004,4.731217307480259,4.7045745041515579,0.00049822637267272118,0.00043141451313619426,0.00043772189207094583,0.000417979416089057,7.2151731532403947,6.8685216591823002,7.1888644627728233,6.7068905956085185,-0.58280593784565582,-0.64870396991474055,-0.59492313581198253,-0.69203952875845021,0.99867561983706965,0.99931590803722992,0.99886400746258175,0.99958620824738698,0.087411008783446001,0.05036660701561075,0.077991679377133985,0.021725961152703546,68.139240506329116,69.861538461538473,69.454545454545467,68.949999999999989,5.3495519129207221,5.2914481975772709,5.3495243266287886,5.0423188792597315,358.34770068899161,289.68852071005858,380.58559622195844,240.51416666666864,168.21667200769093,167.75674556212994,161.95159386068462,166.94937499999992
